Statistical profiling result from isolate-0x292e220-v8.log, (177218 ticks, 20473 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   7282    4.1%          /lib/x86_64-linux-gnu/libc-2.19.so
   1403    0.8%          /lib/x86_64-linux-gnu/libpthread-2.19.so
    258    0.1%          /lib/x86_64-linux-gnu/libm-2.19.so
    227    0.1%          [vdso]
     56    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.20

 [JavaScript]:
   ticks  total  nonlib   name
   3679    2.1%    2.2%  LazyCompile: *write /home/substack/projects/osm-p2p-server/node_modules/sax/lib/sax.js:981:18
   1294    0.7%    0.8%  KeyedLoadIC: A keyed load IC from the snapshot
   1221    0.7%    0.7%  Stub: StringCompareStub
   1160    0.7%    0.7%  Stub: CEntryStub
    945    0.5%    0.6%  Stub: StringAddStub_CheckNone_NotTenured
    930    0.5%    0.6%  LazyCompile: ~attrib /home/substack/projects/osm-p2p-server/node_modules/sax/lib/sax.js:725:19
    914    0.5%    0.5%  Builtin: CallFunction_ReceiverIsAny
    820    0.5%    0.5%  LazyCompile: *is /home/substack/projects/osm-p2p-server/node_modules/sax/lib/sax.js:314:15
    731    0.4%    0.4%  Stub: RegExpExecStub
    698    0.4%    0.4%  LazyCompile: ~convert /home/substack/projects/osm-p2p-server/node_modules/base-convertor/index.js:12:24
    661    0.4%    0.4%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
    656    0.4%    0.4%  Builtin: ArgumentsAdaptorTrampoline
    651    0.4%    0.4%  LazyCompile: *RegExpExecNoTests native regexp.js:81:27
    519    0.3%    0.3%  LazyCompile: *Osm2Json.onOpenTag /home/substack/projects/osm-p2p-server/node_modules/osm2json/lib/osm2json.js:128:41
    499    0.3%    0.3%  LazyCompile: *parseValue /home/substack/projects/osm-p2p-server/node_modules/big-integer/BigInteger.js:1165:24
    400    0.2%    0.2%  LazyCompile: *bcdiv /home/substack/projects/osm-p2p-server/node_modules/base-convertor/index.js:7:22
    334    0.2%    0.2%  Builtin: Call_ReceiverIsAny
    317    0.2%    0.2%  RegExp: [:_A-Za-z\\u00C0-\\u00D6\\u00D8-\\u00F6\\u00F8-\\u02FF\\u0370-\\u037D\\u037F-\\u1FFF\\u200C-\\u200D\\u2070-\\u218F\\u2C00-\\u2FEF\\u3001-\\uD7FF\\uF900-\\uFDCF\\uFDF0-\\uFFFD\\u00B7\\u0300-\\u036F\\u203F-\\u2040\\.\\d-]
    313    0.2%    0.2%  Stub: ToStringStub
    304    0.2%    0.2%  LazyCompile: *[Symbol.match] native regexp.js:285:21
    302    0.2%    0.2%  LazyCompile: ~closeTag /home/substack/projects/osm-p2p-server/node_modules/sax/lib/sax.js:856:21
    295    0.2%    0.2%  Stub: BinaryOpWithAllocationSiteStub
    280    0.2%    0.2%  LazyCompile: ~byteLength buffer.js:352:20
    271    0.2%    0.2%  LazyCompile: *LevelUP.get /home/substack/projects/osm-p2p/node_modules/levelup/lib/levelup.js:196:34
    268    0.2%    0.2%  Stub: NumberToStringStub
    262    0.1%    0.2%  LazyCompile: ~<anonymous> /home/substack/projects/osm-p2p/node_modules/hyperlog/index.js:142:61
    241    0.1%    0.1%  LazyCompile: ~charAt native string.js:40:24
    239    0.1%    0.1%  Stub: StringAddStub_CheckNone_Tenured
    233    0.1%    0.1%  Stub: JSEntryStub
    231    0.1%    0.1%  Builtin: ObjectProtoToString
    224    0.1%    0.1%  KeyedStoreIC: A keyed store IC from the snapshot {2}
    219    0.1%    0.1%  LazyCompile: *bcadd /home/substack/projects/osm-p2p-server/node_modules/base-convertor/index.js:5:22
    213    0.1%    0.1%  Stub: BinaryOpICStub {4}
    203    0.1%    0.1%  LazyCompile: ~err /home/substack/projects/osm-p2p/node_modules/errno/custom.js:25:22
    199    0.1%    0.1%  Stub: CompareICStub {7}
    186    0.1%    0.1%  LazyCompile: *hex2dec /home/substack/projects/osm-p2p-server/lib/util.js:83:18
